ETF_Names,30-Jun-19,31-Jul-19,31-Aug-19,30-Sep-19,31-Oct-19,30-Nov-19,31-Dec-19,31-Jan-20,29-Feb-20,31-Mar-20,30-Apr-20,31-May-20,30-Jun-20,31-Jul-20,31-Aug-20,30-Sep-20,31-Oct-20,30-Nov-20,31-Dec-20,31-Jan-21,28-Feb-21,31-Mar-21,30-Apr-21,31-May-21,30-Jun-21,31-Jul-21,31-Aug-21,30-Sep-21,31-Oct-21,30-Nov-21,31-Dec-21,31-Jan-22,28-Feb-22,31-Mar-22,30-Apr-22,31-May-22,30-Jun-22,STD_2019_2020,STD_2020_2021,STD_2021_2022,Class,PCT_Cumulative_Returns,Target_met
iShares Global Healthcare ETF,5.11,0.3,2.62,0.06,2.75,6.41,-0.67,3.43,-3.34,1.83,4,2.12,-4.91,-0.48,-0.7,1.5,-3.01,3.77,-1.28,1.07,-3.81,5.04,1.79,2.38,5.59,5.8,3.2,-4.12,0.32,2.28,4.96,-3.94,-3.68,1.5,0.8,0.13,0.81,3.203619147,3.284477674,3.419324982,4,-4.51E+11,FALSE
iShares Global High Yield Bond (AUD Hedged) ETF,2.68,0.42,0.35,0.26,0.17,0.53,1.45,-0.35,-1.95,-12.92,6.23,3.42,0.36,2.96,1.1,-1.46,0.28,4,2.24,-1.08,0.53,0.51,0.85,0.05,0.89,0.63,0.2,-0.31,-0.28,-0.93,1.3,-2.45,-1.26,-0.33,-4.08,-0.04,-6.6,4.391459514,1.49589181,2.204922523,5,0.172935182,FALSE
iShares Government Inflation ETF,-0.21,1.55,0.54,0.07,-0.44,1.6,-2.3,3.59,-0.06,-5.48,-0.17,2.34,1.5,3.22,-1.02,1.38,-0.11,0.55,1.18,-1,-4.38,1.49,1.6,0.89,0.78,2.57,-0.33,-2.69,-2.34,2.46,2.19,-1.23,-1.19,-4.29,-1.63,-2.33,-2.2,2.254087455,1.843719763,2.181174701,2,-4966.301249,FALSE
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,3.69,0.7,1.06,-0.96,0.14,-0.68,2.77,1.01,-1.11,-13.56,2.36,5.67,3.26,3.58,0.67,-2.1,-0.34,3.92,2.25,-1.69,-3.55,-0.44,2.19,1.2,0.65,0.37,1,-2.48,0.25,-2.35,2.21,-3.87,-6.65,0.66,-7.59,0.13,-7.23,4.630717395,2.310645098,3.415878646,5,-451980319.5,FALSE
iShares MSCI EAFE ETF,4.18,-0.19,0.33,3.06,1.21,3,-1.06,2.04,-4.23,-9.51,-1.08,3.98,-0.43,-2.13,1.55,1.07,-1.56,8.9,0.12,-0.21,1.32,4.2,1.51,3.27,1.81,2.92,2.03,-2.12,-0.77,1.13,1.53,-0.56,-6.24,-2.87,-1.45,1.04,-4.96,3.743049114,2.837139224,2.803740405,4,3597109654,FALSE
iShares MSCI Emerging Markets ETF,4.7,-0.9,-1.57,1.59,1.99,1.76,3.29,-1.45,-0.09,-11.26,0.36,1.56,2.68,3.92,-0.23,2.14,3.5,3.87,2.13,3.76,-0.12,0.9,-0.2,1.44,4.02,-4.45,2.16,-2.73,-2.79,1.6,-1.2,3.15,-7.09,-6.62,-0.8,-0.33,-1.15,3.914442522,1.650482059,3.484362319,0,-4443491962,FALSE
iShares MSCI Japan ETF,2.99,1.37,1.49,5.12,1.24,3.16,-3.11,2.36,-4.78,-1.76,-2.03,5.58,-3.81,-5.02,3.56,5.05,0.63,5.37,0.52,-0.27,0.92,2.09,-2.98,1.51,2.19,1.48,2.51,3.91,-6.36,2.72,-0.44,-1.24,-4.63,-5.41,-2.89,0.78,-3.47,3.379247565,3.179534718,3.425452806,2,-7.12E+14,FALSE
iShares MSCI South Korea ETF,6.36,-5.79,-1.65,5.67,2.39,1.06,4.2,-2.66,-1.01,-10.03,2.85,2.33,2.84,1.27,1.49,6.89,1.38,12.21,8.24,2.97,-1.04,3.65,-0.45,1.41,4.39,-2.72,-1.76,-5.86,-5.22,0.92,2.14,-4.06,-2.88,-4.94,-1.14,1.15,-10.78,4.657647145,3.713036631,4.000117787,5,2.49E+18,FALSE
iShares S&P 500 (AUD Hedged) ETF,6.68,1.44,-1.85,1.8,2,3.59,2.64,-0.08,-8.97,-13.49,11.52,4.65,1.75,5.55,6.72,-3.97,-2.56,10.4,3.51,-1.07,2.73,4.56,5.19,0.64,2.26,2.33,3.01,-4.8,6.75,-0.78,4.4,-5.48,-2.88,3.52,-9.45,0.3,-8.79,6.367658971,3.932451281,5.151337143,1,-8.23E+19,FALSE
iShares S&P 500 ETF,5.48,3.35,0.61,1.77,0.02,5.56,-1.06,5,-4.94,-7.54,5.36,3.37,-1.82,1.62,3.76,-0.77,-0.5,5.68,-0.98,-0.46,1.84,6.22,3.82,0.45,5.38,4.62,3.61,-3.61,2.9,5.16,1.93,-2.26,-5.71,0.2,-3.68,-0.62,-4.38,4.171038117,2.813164337,3.926538242,4,4.08E+13,FALSE
iShares S&P/ASX 20 ETF,4.1,1.74,-2.9,2.2,-0.85,2.64,-1.97,5.7,-6.29,-19.23,5.74,2.6,3.44,0.19,1.42,-3.58,2.03,10.28,2.31,1.55,2.49,2.08,3.64,3.69,1.64,1.26,0.77,-2.46,0.01,-1.42,2.72,-5.24,2.57,8.01,-1.13,-1.73,-8.13,6.691531196,3.021287932,3.959927317,3,9.27E+14,FALSE
iShares S&P/ASX Dividend Opportunities ETF,1.86,1.76,-3.83,3.48,-1.3,3.36,-0.7,2.29,-9.8,-19.66,8.64,4.71,3.86,0.76,1.87,-5.64,1.75,8.17,5.08,-0.19,-1.43,1.57,3.45,0.99,4.06,3.4,-1.34,-5.64,-1.48,5.27,2.28,-4.65,1.2,6.36,0.49,-4.98,-5.65,7.326628374,3.352751262,4.254899438,3,7.12E+17,FALSE
iShares S&P/ASX Small Ordinaries ETF,0.91,4.41,-3.83,2.49,-0.57,1.51,-0.35,3.33,-8.72,-22.47,14.11,10.54,-1.65,1.31,7.13,-2.9,0.36,10.23,2.7,-0.3,1.5,0.92,4.9,0.23,3.02,0.65,4.95,-2.24,0.9,-0.36,1.34,-9.01,-0.06,5.18,-1.56,-7.06,-13.23,8.891946875,3.584294087,5.428478325,3,-8.94E+13,FALSE
iShares S&P Mid-Cap ETF,6.28,2.86,-1.92,2.97,-1.04,4.87,-1.15,2.27,-6.01,-16.07,6.71,5.8,-2.35,0.39,0.43,-0.33,4.34,8.91,1.6,2.07,5.89,6.39,2.95,0.07,1.9,2.5,2.57,-2.93,1.86,2.73,2.46,-4.3,-1.73,-2.16,-1.84,-0.18,-5.76,6.252687627,3.14674659,2.928681772,3,9.02E+14,FALSE
iShares S&P Small-Cap ETF,5.9,3.02,-2.39,3.2,-0.11,4.92,-0.97,0.78,-6.09,-18.48,5.57,2.97,-0.15,0.11,0.73,-1.69,4.66,12.66,3.3,6.78,6.74,5.19,0.42,1.88,3.42,-0.33,2.5,-1.3,-0.43,3.35,1.8,-4.25,-1.58,-3.09,-2.62,0.92,-4.55,6.479837268,3.881391173,2.738523137,3,-1.67E+13,FALSE
iShares Treasury ETF,1.08,0.95,1.92,-0.68,-0.69,0.85,-2.08,2.76,1,0.22,-0.44,0.08,0.11,0.32,-0.83,1.26,0.1,-0.34,-0.38,-0.67,-4.22,0.98,0.56,0.29,0.97,1.99,0.2,-1.82,-3.85,2.5,-0.04,-1.04,-1.34,-4.04,-1.53,-1,-1.33,1.246183919,1.383053107,1.945673043,2,0.002316679,FALSE
